dish_name,countries_of_origin,ingredients
Sakurayu,['Japan'],"['cherry', 'hot_water', 'water', 'salt_pickled_cherry_blossom', 'salt']"
Seblak,['Indonesia'],"['oil', 'egg', 'noodle', 'garlic', 'tapioca', 'wheat_cracker', 'sausage', 'chicken_broth', 'scallion', 'vegetable_oil', 'shrimp', 'carrot', 'soy_sauce', 'shallot', 'celery', 'wheat', 'pepper', 'broth', 'cabbage', 'chili_pepper', 'meatball', 'chili', 'vegetable', 'chicken']"
Changua,['Colombia'],"['egg', 'water', 'poached_egg', 'bread', 'butter', 'scallion', 'salt', 'milk', 'cilantro']"
Fiambre,['Guatemala'],"['beet', 'lettuce', 'pearl_onion', 'oil', 'egg', 'chicken', 'string_bean', 'cauliflower', 'caper', 'cold_cut', 'pea', 'corn', 'pickle', 'fish', 'vinegar', 'bean', 'chorizo', 'bell_pepper', 'shrimp', 'carrot', 'pacaya_flower', 'olive', 'cheese', 'radish', 'green_bean', 'mustard', 'salami', 'pepper', 'pimiento', 'onion', 'cabbage', 'longaniza', 'vinegar_pickle', 'sausage', 'jalapeno']"
Churchkhela,"['Armenia', 'Georgia', 'Azerbaijan', 'Turkey']","['walnut', 'cornmeal', 'sugar', 'grape_juice', 'almond', 'hazelnut', 'flour', 'nut']"
Gul-gukbap,['South Korea'],"['green_onion', 'onion', 'oil', 'sesame_oil', 'oyster', 'broth', 'tofu', 'garlic', 'soy_sauce', 'beef', 'rice', 'beef_broth', 'radish']"
Cuban Sandwich,"['Cuba', 'United States']","['mustard', 'swis_cheese', 'cuban_bread', 'cheese', 'pork', 'pickle', 'roast_pork', 'bread', 'ham']"
Remojón,['Spain'],"['bell_pepper', 'potato', 'pepper', 'onion', 'oil', 'black_olive', 'egg', 'orange', 'olive', 'hard_boiled_egg', 'vinegar', 'olive_oil', 'salt', 'salt_cod']"
Gorgoria,['Philippines'],"['margarine', 'egg', 'milk', 'slightly_beaten_chicken', 'baking_powder', 'butter', 'flour', 'duck_egg', 'salt', 'chicken']"
Kiribath,['Sri Lanka'],"['coconut_milk', 'cardamom_seed', 'water', 'coconut', 'pandan_leaf', 'rice', 'cardamom', 'salt', 'milk']"
Kiping,['Philippines'],"['glutinou_rice', 'syrup', 'coconut_milk', 'food_coloring', 'sugar', 'oil', 'water', 'coconut', 'sugar_syrup', 'rice', 'sesame_seed', 'milk']"
Ghugni,"['Bangladesh', 'India']","['lemon', 'oil', 'garlic', 'dried_yellow_pea', 'tomato', 'salt', 'cilantro', 'tamarind_paste', 'pea', 'green_chili', 'cumin_powder', 'meat', 'tamarind', 'potato', 'coriander_powder', 'green_pea', 'turmeric', 'onion', 'coriander', 'ginger', 'coconut', 'cumin', 'lemon_juice', 'turmeric_powder', 'chili', 'garam_masala']"
Arroz De Fríjol Cabecita Negra,['Colombia'],"['oil', 'black_eyed_pea', 'garlic', 'olive_oil', 'tomato', 'salt', 'cilantro', 'pea', 'chicken_broth', 'bell_pepper', 'olive', 'rice', 'bay_leaf', 'pepper', 'onion', 'water', 'broth', 'cumin', 'chicken']"
Khao Khluk Kapi,['Thailand'],"['lime', 'sugar', 'egg', 'garlic', 'cilantro', 'dried_shrimp', 'cucumber', 'pork', 'long_bean', 'fish', 'bean', 'shrimp', 'green_mango', 'red_onion', 'rice', 'fish_sauce', 'onion', 'shrimp_paste', 'chili', 'sausage']"
Champorado,['Philippines'],"['glutinou_rice', 'condensed_milk', 'vanilla', 'sugar', 'cocoa_powder', 'water', 'evaporated_milk', 'tablea', 'chocolate', 'rice', 'vanilla_extract', 'salt', 'milk']"
Pollo A La Brasa,['Peru'],"['pepper', 'lime', 'vegetable_oil', 'oil', 'paprika', 'lime_juice', 'black_pepper', 'beer', 'garlic', 'vegetable', 'soy_sauce', 'oregano', 'cumin', 'vinegar', 'salt', 'chicken']"
Hormigas Culonas,['Colombia'],['large_roasted_leafcutter_ant']
Marmite,"['New Zealand', 'United Kingdom']","['celery', 'vitamin', 'spice', 'celery_extract', 'yeast_extract', 'onion', 'onion_extract', 'salt', 'yeast', 'vegetable_juice_concentrate', 'vegetable']"
Knedle,"['Austria', 'Poland', 'Romania', 'Slovakia', 'Serbia', 'Croatia', 'Hungary', 'Czechia', 'Germany', 'Slovenia']","['cream', 'potato', 'bread_crumb', 'sugar', 'egg', 'cottage_cheese', 'cheese', 'cinnamon', 'plum', 'nutmeg', 'bread', 'butter', 'flour', 'salt', 'sour_cream']"
Awara Broth,['French Guiana'],"['oil', 'dumpling', 'garlic', 'okra', 'salt', 'crab', 'meat', 'pork', 'smoked_fish', 'fish', 'bean', 'salted_meat', 'plantain', 'green_onion', 'parsley', 'spinach', 'shrimp', 'thyme', 'rice', 'eggplant', 'pepper', 'smoked_chicken', 'cassava', 'onion', 'fruit', 'chili_pepper', 'smoked_pork', 'awara_fruit_pulp', 'chili', 'chicken']"
Shrimp DeJonghe,['United States'],"['lemon', 'parsley', 'shallot', 'pepper', 'shrimp', 'wine', 'white_wine', 'garlic', 'lemon_juice', 'sherry', 'bread', 'butter', 'chive', 'bread_crumb', 'salt', 'paprika']"
Maple Taffy,['Canada'],"['snow', 'ice', 'syrup', 'maple_syrup', 'crushed_ice', 'wooden_stick']"
Medivnyk,['Ukraine'],"['orange_zest', 'walnut', 'lemon', 'sugar', 'egg', 'allspice', 'honey', 'lemon_zest', 'baking_soda', 'cinnamon', 'nutmeg', 'butter', 'clove', 'flour', 'orange', 'milk']"
Beshbarmak,"['Kazakhstan', 'Kyrgyzstan', 'Turkmenistan', 'Uzbekistan']","['onion', 'water', 'noodle', 'beef', 'flour', 'salt']"
Butifarras Soledeñas,['Colombia'],"['lemon', 'pork_meat', 'pepper', 'spice', 'meat', 'orange_juice', 'garlic', 'pork', 'oregano', 'cumin', 'lemon_juice', 'vinegar', 'orange', 'salt']"
Chanpurū,['Japan'],"['green_onion', 'pepper', 'bean_sprout', 'egg', 'onion', 'pork_belly', 'carrot', 'cabbage', 'tofu', 'soy_sauce', 'pork', 'bitter_melon', 'bean', 'salt']"
Zacuscă,"['Bulgaria', 'Romania', 'Bosnia and Herzegovina', 'Serbia', 'Croatia', 'North Macedonia', 'Albania', 'Montenegro']","['eggplant', 'pepper', 'oil', 'onion', 'black_pepper', 'red_pepper', 'sunflower_oil', 'tomato', 'salt']"
Hsi Htamin,['Myanmar'],"['lime', 'turmeric', 'green_chili', 'oil', 'chili_powder', 'lime_juice', 'garlic', 'peanut', 'rice', 'shallot', 'fish', 'chili', 'sesame_seed', 'fish_sauce', 'cilantro']"
Date And Walnut Loaf,['United Kingdom'],"['sugar', 'egg', 'brown_sugar', 'self_raising_flour', 'salt', 'boiling_water', 'butter', 'milk', 'walnut', 'spice', 'vanilla', 'bicarbonate_of_soda', 'treacle', 'flour', 'vanilla_extract', 'mixed_spice', 'date', 'water', 'black_tea']"
Fish and chips,['United Kingdom'],"['fish', 'potato', 'fried_fish', 'batter']"
Pindang,['Indonesia'],"['kaffir_lime_leaf', 'lemon', 'lemon_gras', 'pepper', 'lime', 'turmeric', 'sugar', 'galangal', 'water', 'garlic', 'ginger', 'shallot', 'fish', 'salt', 'tamarind']"
Jeolpyeon,"['North Korea', 'South Korea']","['food_coloring', 'sugar', 'water', 'rice_flour', 'salt', 'rice', 'flour', 'sesame_seed']"
Kalops,"['Finland', 'Sweden']","['pepper', 'onion', 'water', 'allspice', 'beef', 'bay_leaf', 'salt']"
Guernsey Bean Jar,['Guernsey'],"['celery', 'potato', 'pepper', 'onion', 'water', 'thyme', 'carrot', 'haricot_bean', 'garlic', 'butter_bean', 'pork', 'beef', 'butter', 'bay_leaf', 'bean', 'salt', 'marjoram']"
Paneer Tikka,['India'],"['lemon', 'oil', 'garlic', 'paneer', 'tomato', 'salt', 'yogurt', 'cumin_powder', 'red_chili_powder', 'bell_pepper', 'ginger_garlic_paste', 'coriander_powder', 'pepper', 'turmeric', 'onion', 'chaat_masala', 'coriander', 'ginger', 'cumin', 'lemon_juice', 'turmeric_powder', 'chili', 'garam_masala']"
50/50 Burger,['United States'],"['mustard', 'lettuce', 'pepper', 'bun', 'ground_bacon', 'onion', 'ketchup', 'black_pepper', 'cheese', 'ground_beef', 'bacon', 'pickle', 'beef', 'mayonnaise', 'hamburger_bun', 'tomato', 'salt']"
Maple Leaf Cream Cookie,['Canada'],"['cream', 'syrup', 'maple_syrup', 'vanilla', 'egg', 'sugar', 'all_purpose_flour', 'powdered_sugar', 'cream_cheese', 'cream_filling', 'cheese', 'cinnamon', 'butter', 'flour', 'vanilla_extract', 'salt', 'baking_powder']"
Samfaina,['Spain'],"['eggplant', 'red_bell_pepper', 'parsley', 'pepper', 'sugar', 'oil', 'onion', 'thyme', 'garlic', 'olive', 'green_bell_pepper', 'zucchini', 'olive_oil', 'rosemary', 'bay_leaf', 'tomato', 'salt', 'paprika']"
Chugchucaras,['Ecuador'],"['plantain', 'potato', 'llapingacho', 'mote', 'empanada', 'ripe_banana', 'corn', 'banana', 'pork', 'hominy', 'aji', 'chicharron', 'herb', 'popcorn', 'peanut']"
Chatang,['China'],"['sesame_paste', 'syrup', 'sugar', 'water', 'sorghum_flour', 'sweet_osmanthu_syrup', 'millet_flour', 'millet', 'flour']"
Droëwors,"['Namibia', 'South Africa']","['natural_casing', 'pepper', 'coriander', 'mutton', 'black_pepper', 'beef', 'vinegar', 'salt', 'fat']"
Tsuivan,['Mongolia'],"['bell_pepper', 'potato', 'pepper', 'onion', 'carrot', 'noodle', 'cabbage', 'garlic', 'beef', 'mutton']"
Chạo Tôm,['Vietnam'],"['lemon', 'starch', 'sugar', 'garlic', 'bamboo_shoot', 'corn_starch', 'corn', 'pork', 'fish', 'rice_vermicelli', 'green_onion', 'shrimp', 'pork_fat', 'rice', 'rice_paper', 'fish_sauce', 'lemon_gras', 'pepper', 'onion']"
Shorgoghal,['Azerbaijan'],"['pepper', 'turmeric', 'vanilla', 'egg', 'sugar', 'anise_seed', 'black_pepper', 'nigella_seed', 'salt', 'cinnamon', 'saffron', 'yeast', 'butter', 'flour', 'cardamom', 'sesame_seed', 'milk']"
Garbure,['France'],"['garlic', 'smoked_sausage', 'ham', 'pork', 'bean', 'parsley', 'ham_hock', 'thyme', 'carrot', 'turnip', 'leek', 'bay_leaf', 'potato', 'celery', 'onion', 'pork_belly', 'white_bean', 'cabbage', 'duck_confit', 'sausage']"
Mshikaki,"['Uganda', 'Burundi', 'Kenya', 'Zimbabwe', 'Eritrea', 'Ethiopia', 'Réunion', 'Mauritius', 'Malawi', 'Rwanda', 'Zambia', 'Comoros', 'Djibouti', 'Madagascar', 'South Sudan', 'Seychelles', 'Mozambique', 'Mayotte', 'Somalia', 'Tanzania']","['lemon', 'oil', 'chili_powder', 'garlic', 'beef', 'tomato', 'salt', 'yogurt', 'vinegar', 'bell_pepper', 'vegetable_oil', 'soy_sauce', 'pepper', 'onion', 'black_pepper', 'ginger', 'lemon_juice', 'chili', 'vegetable']"
Kwareżimal,['Malta'],"['grated_lemon_rind', 'lemon', 'mixed_spice', 'orange_blossom_water', 'spice', 'chopped_nut_for_topping', 'sugar', 'grated_orange_rind', 'water', 'honey', 'orange_juice', 'aniseed', 'cinnamon', 'almond', 'lemon_juice', 'flour', 'orange', 'nut']"
Chhurpi,"['Bhutan', 'Nepal', 'India']","['yak', 'lime', 'water', 'chauri_milk', 'lime_juice', 'salt', 'milk']"
Khow Suey,['Myanmar'],"['lime', 'chickpea', 'egg', 'chili_powder', 'boiled_egg', 'noodle', 'garlic', 'cilantro', 'fish', 'milk', 'peanut', 'green_onion', 'coconut_milk', 'crispy_noodle', 'soy_sauce', 'flour', 'fish_sauce', 'turmeric', 'onion', 'chickpea_flour', 'ginger', 'coconut', 'fried_onion', 'curry_powder', 'chili', 'chicken']"
Tom Yum,['Thailand'],"['lemon', 'lime', 'garlic', 'mushroom', 'cilantro', 'bird_eye_chili', 'lime_juice', 'straw_mushroom', 'fish', 'milk', 'kaffir_lime_leaf', 'coconut_milk', 'shrimp', 'shallot', 'fish_sauce', 'lemon_gras', 'galangal', 'water', 'coconut', 'chili', 'chicken']"
Tteokbokki,"['North Korea', 'South Korea']","['chili', 'green_onion', 'sugar', 'oil', 'egg', 'fish_cake', 'sesame_oil', 'gochujang', 'onion', 'boiled_egg', 'water', 'garlic', 'soy_sauce', 'rice', 'fish', 'rice_cake', 'sesame_seed']"
Stracciatella,['Italy'],"['spinach', 'pepper', 'egg', 'broth', 'chicken_broth', 'parmesan_cheese', 'black_pepper', 'cheese', 'nutmeg', 'semolina', 'salt', 'chicken']"
Grits and Grunts,['United States'],"['hot_sauce', 'fish', 'butter', 'sugar', 'oil', 'egg', 'water', 'salt', 'cheese', 'bacon', 'fish_fillet', 'flour', 'oil_for_frying', 'herb', 'grit']"
Lula Kebab,"['Armenia', 'Georgia', 'Azerbaijan']","['parsley', 'pepper', 'coriander', 'onion', 'black_pepper', 'sumac', 'garlic', 'cumin', 'ground_lamb', 'salt', 'lamb']"
Svartsoppa,['Sweden'],"['sugar', 'pig_blood', 'clove', 'salt', 'cinnamon', 'butter', 'vinegar', 'brandy', 'cream', 'allspice', 'another_spirit', 'flour', 'pepper', 'goose', 'broth', 'black_pepper', 'fruit', 'fruit_preserve', 'ginger']"
Zhajiangmian,['China'],"['bean_sprout', 'oil', 'soybean_paste', 'chili_oil', 'noodle', 'garlic', 'minced_pork', 'tofu', 'cucumber', 'pork', 'hoisin_sauce', 'bean', 'scallion', 'bell_pepper', 'shrimp', 'sesame_oil', 'carrot', 'soy_sauce', 'pepper', 'ginger', 'zucchini', 'chili', 'chicken']"
Mulligatawny,['India'],"['celery', 'coconut_milk', 'onion', 'milk', 'carrot', 'chicken', 'garlic', 'lentil', 'ginger', 'coconut', 'rice', 'curry_powder', 'lamb']"
Echicha,['Nigeria'],"['palm_oil', 'pepper', 'pea', 'bitter_leaf', 'cocoyam_flake', 'pigeon_pea', 'oil', 'onion', 'fish', 'corn', 'dried_corn', 'ground_crayfish', 'smoked_fish', 'seasoning_cube', 'crayfish', 'ugba', 'salt']"
Giardiniera,['Italy'],"['bell_pepper', 'celery', 'pepper', 'oil', 'onion', 'vinegar', 'black_pepper', 'carrot', 'garlic', 'olive', 'cucumber', 'oregano', 'red_pepper_flake', 'green_olive', 'olive_oil', 'cauliflower', 'salt']"
Far Far,['India'],"['potato', 'starch', 'spice', 'food_coloring', 'rice_flour', 'tapioca_flour', 'sago', 'rice', 'potato_starch', 'flour', 'salt']"
Osam-bulgogi,['South Korea'],"['sugar', 'oil', 'garlic', 'mushroom', 'pork', 'squid', 'gochugaru', 'wine', 'rice_wine', 'scallion', 'bell_pepper', 'sesame_oil', 'gochujang', 'carrot', 'soy_sauce', 'rice', 'sesame_seed', 'pepper', 'onion', 'pork_belly', 'black_pepper', 'cabbage', 'ginger']"
Morcilla de Burgos,['Spain'],"['pepper', 'onion', 'black_pepper', 'garlic', 'oregano', 'rice', 'pig_blood', 'lard', 'pine_nut', 'salt', 'paprika', 'nut']"
Tajine,"['Algeria', 'Libya', 'Morocco', 'Tunisia']","['lemon', 'oil', 'chicken', 'beef', 'olive_oil', 'tomato', 'meat', 'cinnamon', 'preserved_lemon', 'spice', 'paprika', 'carrot', 'olive', 'almond', 'potato', 'onion', 'water', 'broth', 'fruit', 'ginger', 'cumin', 'vegetable', 'lamb', 'nut']"
New England Boiled Dinner,['United States'],"['beet', 'potato', 'parsnip', 'onion', 'carrot', 'corned_beef', 'cabbage', 'turnip', 'beef']"
Num Ansom chrouk,['Cambodia'],"['ground_black_pepper', 'sugar', 'garlic', 'salt', 'grated_coconut', 'banana', 'pork', 'fish', 'bean', 'bamboo_string', 'glutinou_rice', 'soy_sauce', 'rice', 'shallot', 'fish_sauce', 'pepper', 'palm_sugar', 'pork_belly', 'coconut', 'banana_leaf', 'mung_bean']"
Tallarín Saltado,['Peru'],"['bell_pepper', 'aji_amarillo_paste', 'green_onion', 'pepper', 'onion', 'vinegar', 'oyster_sauce', 'spaghetti', 'noodle', 'garlic', 'soy_sauce', 'ginger', 'cumin', 'beef', 'tomato', 'chinese_noodle', 'cilantro']"
Kabab Torsh,['Iran'],"['walnut', 'parsley', 'pepper', 'oil', 'onion', 'wine', 'sumac', 'garlic', 'olive', 'red_wine_vinegar', 'pomegranate_paste', 'beef', 'saffron', 'olive_oil', 'vinegar', 'salt', 'lamb']"
Graavilohi,"['Finland', 'Sweden', 'Norway']","['peppercorn', 'sugar', 'white_peppercorn', 'salmon', 'dill', 'salt']"
Saveloy,['United Kingdom'],"['pepper', 'spice', 'rusk', 'water', 'red_dye', 'pork_fat', 'mace', 'pork', 'ginger', 'nutmeg', 'white_pepper', 'sheep_casing', 'salt']"
Älplermagronen,['Switzerland'],"['cream', 'potato', 'pepper', 'apple', 'onion', 'macaroni', 'cheese', 'garlic', 'bacon', 'butter', 'salt', 'milk']"
Vada Pav,['India'],"['asafoetida', 'bun', 'oil', 'tamarind_chutney', 'garlic', 'salt', 'mustard_seed', 'green_chili', 'dry_garlic_chutney', 'red_chili_powder', 'butter', 'curry_leaf', 'coriander_leaf', 'tamarind', 'gram_flour', 'flour', 'potato', 'mustard', 'turmeric', 'coriander', 'water', 'green_chutney', 'turmeric_powder', 'chili', 'pav_bun']"
Karides Güveç,['Turkey'],"['lemon', 'parsley', 'pepper', 'butter', 'oil', 'shrimp', 'tomato', 'onion', 'black_pepper', 'garlic', 'cheese', 'olive', 'red_pepper_flake', 'mushroom', 'lemon_juice', 'green_pepper', 'olive_oil', 'salt']"
Cou-cou,"['Antigua and Barbuda', 'Barbados', 'British Virgin Islands']","['cornmeal', 'water', 'okra', 'butter', 'salt']"
Pad See Ew,['Thailand'],"['egg', 'noodle', 'tofu', 'garlic', 'chinese_broccoli', 'soy_sauce', 'rice_noodle', 'pork', 'beef', 'rice', 'chicken']"
Knipp,['Germany'],"['liver', 'beef', 'sausage_casing', 'salt', 'pork_rind', 'pork', 'marjoram', 'oat_groat', 'oat', 'allspice', 'pork_head', 'suet', 'bay_leaf', 'pepper', 'onion', 'beef_suet', 'pork_belly', 'broth', 'sausage']"
Thapthim Krop,['Thailand'],"['coconut_meat', 'starch', 'sugar', 'red_food_coloring', 'salt', 'corn_starch', 'meat', 'corn', 'pandan_leaf', 'water_chestnut', 'milk', 'ice', 'coconut_milk', 'tapioca_flour', 'jasmine_scented_water', 'flour', 'water', 'chestnut', 'ice_cube', 'coconut', 'grenadine']"
Bread Pakora,['India'],"['oil', 'cumin_seed', 'garlic', 'bread', 'bread_slice', 'salt', 'besan', 'mustard_seed', 'green_chili', 'red_chili_powder', 'garlic_paste', 'ginger_paste', 'carom_seed', 'rice', 'flour', 'oil_for_frying', 'potato', 'mustard', 'coriander_powder', 'turmeric', 'chaat_masala', 'coriander', 'water', 'rice_flour', 'ginger', 'cumin', 'turmeric_powder', 'chili']"
Stollen,['Germany'],"['vanilla', 'egg', 'sugar', 'powdered_sugar', 'marzipan', 'candied_citru_peel', 'salt', 'rum', 'almond', 'nutmeg', 'butter', 'yeast', 'flour', 'vanilla_extract', 'cardamom', 'brandy', 'raisin', 'milk']"
Pozole,['Mexico'],"['chili', 'lime', 'dried_chili', 'onion', 'cabbage', 'garlic', 'pork_shoulder', 'pork', 'oregano', 'cumin', 'avocado', 'bay_leaf', 'dried_hominy', 'salt', 'cilantro', 'radish']"
Tinutuan,['Indonesia'],"['meat_broth', 'pumpkin', 'garlic', 'salt', 'kale', 'sweet_potato', 'meat', 'corn', 'fish', 'milk', 'spinach', 'chilly', 'coconut_milk', 'basil', 'rice', 'shallot', 'potato', 'pepper', 'onion', 'water', 'broth', 'spring_onion', 'coconut']"
Catànies,['Spain'],"['lemon', 'vanilla', 'sugar', 'cocoa_powder', 'milk_powder', 'lemon_zest', 'coffee', 'cinnamon', 'chocolate', 'almond', 'butter', 'white_chocolate', 'milk']"
Chè Trôi Nước,['Vietnam'],"['coconut_milk', 'food_coloring', 'sugar', 'shredded_coconut', 'water', 'mung_bean_paste', 'glutinou_rice_flour', 'ginger', 'coconut', 'pandan_leaf', 'rice', 'flour', 'bean', 'sesame_seed', 'milk']"
Kawareʾ,['Egypt'],"['lemon', 'garlic', 'clove', 'tomato', 'salt', 'cinnamon', 'butter', 'sheep_trotter', 'vinegar', 'cow', 'bay_leaf', 'pepper', 'onion', 'cardamom_pod', 'black_pepper', 'chili_pepper', 'lemon_juice', 'cardamom', 'chili']"
Jhalmuri,"['Bangladesh', 'India']","['lemon', 'egg', 'oil', 'boiled_egg', 'pomegranate_seed', 'tomato', 'salt', 'black_salt', 'green_chili', 'mustard_oil', 'cucumber', 'boiled_potato', 'coriander_leaf', 'peanut', 'rice', 'mustard', 'potato', 'onion', 'chaat_masala', 'sev', 'coriander', 'roasted_peanut', 'puffed_rice', 'lemon_juice', 'chili']"
Baked Milk,"['Belarus', 'Russia', 'Ukraine']",['milk']
Pyttipanna,"['Finland', 'Sweden', 'Norway', 'Denmark']","['potato', 'egg', 'onion', 'pickled_beetroot', 'oil', 'meat', 'leftover_meat', 'pickled_gherkin', 'pork', 'beef', 'butter', 'sausage']"
Sauerbraten,['Germany'],"['juniper_berry', 'sugar', 'beef', 'clove', 'red_wine', 'salt', 'peppercorn', 'mustard_seed', 'gingersnap_cookie', 'wine', 'vinegar', 'carrot', 'bay_leaf', 'beef_roast', 'raisin', 'celery', 'mustard', 'pepper', 'onion', 'water']"
Sinanglay,['Philippines'],"['lemon', 'garlic', 'tomato', 'salt', 'fish', 'milk', 'spinach', 'coconut_milk', 'shrimp', 'fish_sauce', 'lemon_gras', 'pepper', 'onion', 'malunggay_leaf', 'ginger', 'coconut', 'shrimp_paste', 'tilapia', 'chili']"
Steak And Kidney Pie,['United Kingdom'],"['stock', 'worcestershire_sauce', 'pepper', 'egg', 'onion', 'beef_stock', 'stout', 'thyme', 'beef_steak', 'egg_yolk', 'kidney', 'mushroom', 'beef', 'puff_pastry', 'butter', 'flour', 'ale', 'salt']"
Mulukhiyah,"['Jordan', 'Palestine', 'Morocco', 'Yemen', 'Iraq', 'Syria', 'Haiti', 'Lebanon', 'Sudan', 'Egypt', 'Libya', 'Cyprus', 'Tunisia', 'Algeria']","['lemon', 'oil', 'garlic', 'beef', 'olive_oil', 'rabbit', 'salt', 'butter', 'olive', 'rice', 'mulukhiyah_leaf', 'pepper', 'onion', 'coriander', 'broth', 'chili_pepper', 'lemon_juice', 'chili', 'chicken']"
Anfu Ham,['China'],"['spice', 'sugar', 'soy_sauce', 'pork', 'salt']"
Mitarashi dango,['Japan'],"['mirin', 'starch', 'sugar', 'water', 'glutinou_rice_flour', 'soy_sauce', 'rice', 'flour']"
Cordon Bleu,"['Switzerland', 'France']","['bread_crumb', 'pepper', 'oil', 'egg', 'cheese', 'veal_cutlet', 'bread', 'butter', 'veal', 'flour', 'ham', 'salt']"
Puchero De Hinojos,['Spain'],"['chickpea', 'oil', 'garlic', 'beef', 'variou_meat', 'olive_oil', 'tomato', 'salt', 'meat', 'pork', 'saffron', 'chorizo', 'olive', 'morcilla', 'fennel', 'potato', 'pepper', 'onion', 'water', 'broth', 'paprika']"
French Toast,['France'],"['bread', 'egg']"
Cincinnati Chili,['United States'],"['sugar', 'chili_powder', 'garlic', 'beef', 'clove', 'tomato', 'oyster_cracker', 'salt', 'hot_sauce', 'tomato_sauce', 'cinnamon', 'vinegar', 'bean', 'worcestershire_sauce', 'cocoa_powder', 'allspice', 'cheese', 'ground_beef', 'cheddar_cheese', 'bay_leaf', 'kidney_bean', 'pepper', 'onion', 'water', 'broth', 'spaghetti', 'chili', 'beef_broth']"
Slinger,['United States'],"['hot_sauce', 'hash_brown', 'hamburger_patty', 'egg', 'onion', 'cheese', 'bacon', 'toast', 'chili', 'sausage', 'jalapeno']"
Meat Pie,"['Australia', 'New Zealand']","['egg', 'garlic', 'mushroom', 'beef', 'tomato', 'salt', 'herb', 'pea', 'shortcrust_pastry', 'tomato_paste', 'butter', 'worcestershire_sauce', 'carrot', 'cheese', 'beef_mince', 'flour', 'stock', 'pepper', 'onion', 'beef_stock', 'puff_pastry']"
Nasi Bakar,['Indonesia'],"['lemon', 'lime', 'garlic', 'tempeh', 'tofu', 'banana', 'anchovy', 'milk', 'kaffir_lime_leaf', 'coconut_milk', 'rice', 'salam_leaf', 'shallot', 'lemon_gras', 'pepper', 'galangal', 'chili_pepper', 'coconut', 'banana_leaf', 'chili', 'chicken']"
Koeksister,['South Africa'],"['lemon', 'sugar', 'egg', 'milk', 'water', 'cinnamon', 'ginger', 'lemon_juice', 'butter', 'flour', 'cardamom', 'salt', 'baking_powder', 'cinnamon_stick']"
Tapioca Pudding,['United Kingdom'],"['vanilla', 'tapioca_pearl', 'sugar', 'egg', 'vanilla_extract', 'milk']"
Sayur Asem,['Indonesia'],"['sugar', 'tomato', 'salt', 'green_chili', 'melinjo_leaf', 'corn', 'long_bean', 'bean', 'peanut', 'tamarind', 'bilimbi', 'shallot', 'bay_leaf', 'vegetable_broth', 'chayote', 'galangal', 'water', 'broth', 'fruit', 'melinjo_fruit', 'chili', 'vegetable']"
Flaó,['Spain'],"['lemon', 'mint', 'sugar', 'oil', 'egg', 'lemon_zest', 'aniseed', 'olive_oil', 'lard', 'sheep_milk_cheese', 'honey', 'cinnamon', 'pine_nut', 'milk', 'olive', 'cheese', 'flour', 'goat_milk_cheese', 'goat', 'nut']"
Moros Y Cristianos,['Cuba'],"['oil', 'white_rice', 'garlic', 'oregano', 'olive_oil', 'tomato', 'ham', 'salt', 'bacon', 'green_bell_pepper', 'bean', 'vinegar', 'bell_pepper', 'olive', 'rice', 'bay_leaf', 'pepper', 'onion', 'black_bean', 'black_pepper', 'cumin']"
Chicken Longganisa,['Philippines'],"['pepper', 'sugar', 'vinegar', 'paprika', 'black_pepper', 'brown_sugar', 'pork_fat', 'garlic', 'ground_chicken', 'soy_sauce', 'salt', 'pork', 'red_chili_flake', 'chili', 'annatto_powder', 'chicken']"
Bouillabaisse,['France'],"['parsley', 'fish', 'shellfish', 'onion', 'garlic', 'saffron', 'leek', 'tomato', 'fennel']"
Dosa,['India'],"['black_gram', 'water', 'rice', 'salt']"
Usban,"['Libya', 'Tunisia']","['mint', 'oil', 'chili_powder', 'garlic', 'olive_oil', 'tomato', 'salt', 'cilantro', 'meat', 'cinnamon', 'dill', 'lamb_meat', 'tomato_paste', 'pine_nut', 'parsley', 'paprika', 'allspice', 'olive', 'rice', 'lamb_intestine', 'raisin', 'pepper', 'turmeric', 'onion', 'black_pepper', 'chili', 'lamb', 'nut']"
Chipsi Mayai,['Tanzania'],"['potato', 'pepper', 'egg', 'onion', 'oil', 'green_pepper', 'tomato', 'chili', 'salt']"
Chicken Inasal,['Philippines'],"['lemon', 'sugar', 'oil', 'brown_sugar', 'garlic', 'annatto_oil', 'salt', 'vinegar', 'milk', 'calamansi', 'coconut_milk', 'soy_sauce', 'lemon_gras', 'pepper', 'black_pepper', 'ginger', 'coconut', 'chili', 'chicken']"
Bhaji,"['Pakistan', 'Nepal', 'Bangladesh', 'India']","['lemon', 'chickpea', 'oil', 'cumin_seed', 'garlic', 'tomato', 'salt', 'cilantro', 'mustard_seed', 'green_chili', 'curry_leaf', 'spinach', 'flour', 'potato', 'mustard', 'coriander_powder', 'turmeric', 'onion', 'coriander', 'chickpea_flour', 'ginger', 'cumin', 'lemon_juice', 'chili', 'garam_masala']"
Chukauni,['Nepal'],"['lemon', 'potato', 'yogurt', 'pepper', 'green_chili', 'onion', 'coriander', 'black_pepper', 'garlic', 'cucumber', 'ginger', 'lemon_juice', 'tomato', 'chili', 'salt', 'coriander_leaf']"
